Format Version,1.23,Take Name,Take 2022-02-11 07.51.42 PM_004,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,50.000000,Capture Start Time,2022-02-11 08.22.15.784 ,Total Frames in Take,58575,Total Exported Frames,24407,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Brazo,Brazo,Brazo,Brazo,Brazo,Brazo,Brazo,Brazo
,ID,"13FA25D78B6811EC971C30666208F79D","13FA25D78B6811EC971C30666208F79D","13FA25D78B6811EC971C30666208F79D","13FA25D78B6811EC971C30666208F79D","13FA25D78B6811EC971C30666208F79D","13FA25D78B6811EC971C30666208F79D","13FA25D78B6811EC971C30666208F79D","13FA25D78B6811EC971C30666208F79D"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,
116,2.320000,-0.216054,0.266032,0.024678,-0.939116,-0.055238,0.165205,0.004745,0.000363
117,2.340000,-0.222231,0.269354,0.025174,-0.936711,-0.056053,0.163786,0.003904,0.000401
118,2.360000,-0.228134,0.272423,0.025546,-0.934392,-0.056910,0.162312,0.002986,0.000351
119,2.380000,-0.232878,0.274635,0.025496,-0.932573,-0.057643,0.160812,0.002065,0.000432
120,2.400000,-0.238493,0.277301,0.026102,-0.930346,-0.058226,0.159335,0.001232,0.000274
121,2.420000,-0.243870,0.279503,0.025837,-0.928298,-0.058986,0.157921,0.000385,0.000401
122,2.440000,-0.248665,0.281202,0.025639,-0.926517,-0.059779,0.156588,-0.000444,0.000688
123,2.460000,-0.254871,0.285402,0.026157,-0.923527,-0.060403,0.155328,-0.001462,0.000561
124,2.480000,-0.259784,0.287233,0.025790,-0.921599,-0.061051,0.154059,-0.002222,0.000626
125,2.500000,-0.264475,0.288306,0.026238,-0.919915,-0.061659,0.152798,-0.003045,0.000594
126,2.520000,-0.268571,0.288990,0.026602,-0.918502,-0.062171,0.151614,-0.003792,0.000664
127,2.540000,-0.272635,0.288607,0.028456,-0.917369,-0.062950,0.150385,-0.004652,0.000569
128,2.560000,-0.276321,0.290649,0.028639,-0.915615,-0.063332,0.149199,-0.005445,0.000302
129,2.580000,-0.280979,0.291263,0.028877,-0.913993,-0.063689,0.148087,-0.006092,0.000315
130,2.600000,-0.284400,0.291433,0.029427,-0.912862,-0.064091,0.146979,-0.006825,0.000410
131,2.620000,-0.289087,0.293611,0.029523,-0.910686,-0.064251,0.145925,-0.007475,0.000282
132,2.640000,-0.294013,0.298810,0.029897,-0.907400,-0.064336,0.144945,-0.008270,0.000230
133,2.660000,-0.295952,0.296688,0.029297,-0.907486,-0.064501,0.143975,-0.008665,0.000285
134,2.680000,-0.300435,0.300337,0.029253,-0.904810,-0.064592,0.143062,-0.009337,0.000190
